exch_rate,date,access_date
30.2442,2009-12-01,2019-03-08
30.4312,2010-01-01,2019-03-08
29.9484,2010-02-01,2019-03-08
29.3638,2010-03-01,2019-03-08
29.2886,2010-04-01,2019-03-08
30.4956,2010-05-01,2019-03-08
31.1954,2010-06-01,2019-03-08
30.1869,2010-07-01,2019-03-08
30.664,2010-08-01,2019-03-08
30.403,2010-09-01,2019-03-08
30.7821,2010-10-01,2019-03-08
31.3061,2010-11-01,2019-03-08
30.4769,2010-12-01,2019-03-08
29.6684,2011-01-01,2019-03-08
28.9405,2011-02-01,2019-03-08
28.429,2011-03-01,2019-03-08
27.5022,2011-04-01,2019-03-08
28.0685,2011-05-01,2019-03-08
28.0758,2011-06-01,2019-03-08
27.6796,2011-07-01,2019-03-08
28.8569,2011-08-01,2019-03-08
31.8751,2011-09-01,2019-03-08
29.8977,2011-10-01,2019-03-08
31.3216,2011-11-01,2019-03-08
32.1961,2011-12-01,2019-03-08
30.3647,2012-01-01,2019-03-08
28.9503,2012-02-01,2019-03-08
29.3282,2012-03-01,2019-03-08
29.3627,2012-04-01,2019-03-08
32.4509,2012-05-01,2019-03-08
32.8169,2012-06-01,2019-03-08
32.1881,2012-07-01,2019-03-08
32.2934,2012-08-01,2019-03-08
30.9169,2012-09-01,2019-03-08
31.5252,2012-10-01,2019-03-08
31.0565,2012-11-01,2019-03-08
30.3727,2012-12-01,2019-03-08
30.0277,2013-01-01,2019-03-08
30.6202,2013-02-01,2019-03-08
31.0834,2013-03-01,2019-03-08
31.2559,2013-04-01,2019-03-08
31.5893,2013-05-01,2019-03-08
32.709,2013-06-01,2019-03-08
32.8901,2013-07-01,2019-03-08
33.2474,2013-08-01,2019-03-08
32.3451,2013-09-01,2019-03-08
32.0613,2013-10-01,2019-03-08
33.1916,2013-11-01,2019-03-08
32.7292,2013-12-01,2019-03-08
35.2448,2014-01-01,2019-03-08
36.0501,2014-02-01,2019-03-08
35.6871,2014-03-01,2019-03-08
35.6983,2014-04-01,2019-03-08
34.7352,2014-05-01,2019-03-08
33.6306,2014-06-01,2019-03-08
35.7271,2014-07-01,2019-03-08
36.9316,2014-08-01,2019-03-08
39.3866,2014-09-01,2019-03-08
43.3943,2014-10-01,2019-03-08
49.322,2014-11-01,2019-03-08
56.2584,2014-12-01,2019-03-08
68.9291,2015-01-01,2019-03-08
61.2718,2015-02-01,2019-03-08
58.4643,2015-03-01,2019-03-08
51.7029,2015-04-01,2019-03-08
52.9716,2015-05-01,2019-03-08
55.524,2015-06-01,2019-03-08
58.9906,2015-07-01,2019-03-08
66.4779,2015-08-01,2019-03-08
66.2367,2015-09-01,2019-03-08
64.3742,2015-10-01,2019-03-08
66.2393,2015-11-01,2019-03-08
72.8827,2015-12-01,2019-03-08
75.1723,2016-01-01,2019-03-08
75.0903,2016-02-01,2019-03-08
67.6076,2016-03-01,2019-03-08
64.3334,2016-04-01,2019-03-08
66.0825,2016-05-01,2019-03-08
64.2575,2016-06-01,2019-03-08
67.0512,2016-07-01,2019-03-08
64.9072,2016-08-01,2019-03-08
63.1581,2016-09-01,2019-03-08
62.9037,2016-10-01,2019-03-08
64.9449,2016-11-01,2019-03-08
60.6569,2016-12-01,2019-03-08
60.1618,2017-01-01,2019-03-08
57.9371,2017-02-01,2019-03-08
56.3779,2017-03-01,2019-03-08
56.9838,2017-04-01,2019-03-08
56.5168,2017-05-01,2019-03-08
59.0855,2017-06-01,2019-03-08
59.5436,2017-07-01,2019-03-08
58.7306,2017-08-01,2019-03-08
58.0169,2017-09-01,2019-03-08
57.8716,2017-10-01,2019-03-08
58.3311,2017-11-01,2019-03-08
57.6002,2017-12-01,2019-03-08
56.2914,2018-01-01,2019-03-08
55.6717,2018-02-01,2019-03-08
57.2649,2018-03-01,2019-03-08
61.9997,2018-04-01,2019-03-08
62.5937,2018-05-01,2019-03-08
62.7565,2018-06-01,2019-03-08
62.7805,2018-07-01,2019-03-08
68.0821,2018-08-01,2019-03-08
65.5906,2018-09-01,2019-03-08
65.7742,2018-10-01,2019-03-08
66.6342,2018-11-01,2019-03-08
69.4706,2018-12-01,2019-03-08
66.0987,2019-01-01,2019-03-08
65.757,2019-02-01,2019-03-08
65.9646,2019-03-01,2019-03-08
