Date,"Gross Domestic Product, Nominal, National Currency","Gross Domestic Product, Deflator, Index","Household Consumption Expenditure, incl. NPISHs, Nominal, National Currency","External Sector, Exports of Goods and Services, Nominal, National Currency","External Sector, Imports of Goods and Services, Nominal, National Currency","Consumer Price Index, All items, Index","Producer Price Index, All Commodities, Percentage change, previous period, Percent","Real Effective Exchange Rate, Consumer Price Index","Interest Rates, Money Market Rate","Public Final Consumption Expend., Nominal",M2,International Reserves,Crude Oil income,Population,"Real wage, NSA",Employment in Manufacturing,Population,Bicurrency bundle,Y must be real and equal C+I+G,Y must be SA,Y must be per capita,Ymust be an index value,C must be real,C must be SA,C must be per capita,C must be an index value ,Inflaiton CPI,real exchange rate (US dollar),real exchange rate (Euro),real exchange rate weighted,real balances must be real and per capita,M must be an index value,Domestic Inflaiton ,"Real wage, must be SA",Crude Oil income,Oil imcome must be per capita,oil income 
2003 Q2,3097.561,37.38,1586.0953,1103.0838999999999,751.6209,48.9511958508134,2.69337016574585,66.8127531984318,1.56666666666667,579.6315999999999,2626.8,64429.59,16525,144774,107.28,102.019531620366,144.774,32.763555,7346.436597110755,7621.0702,52641.152416870435,0.9023785818527409,4243.165596575709,4332.1264,29923.37298133643,0.8852686737565468,1.0308986141439054,1.3010314490080521,1.19073638071265,1.2501879750918847,37065.77865682833,0.6612961186610019,1.0269337016574585,108.39444,15569.945019702534,107.54655545679842,-0.320211085790995
2003 Q3,3635.3371,39.95,1702.2605,1206.5693999999999,846.3652,49.6123491731275,4.19188522752723,68.4223574611467,5.96666666666667,587.6631,2752.8,62073.66,18969,144571,110.92,100.515154388294,144.571,32.1436,8198.079849812266,7732.5727,53486.33335869572,0.9168667369306082,4260.9774718398,4338.294,30008.05140726702,0.8877738444759747,1.0135063773381363,1.2715559830948073,1.1482412793341346,1.2145053638985415,38379.88622360397,0.6847413089390076,1.0419188522752723,111.65388,17957.748043156338,124.21404045871121,-0.233886590093031
2003 Q4,3681.253,39.44,1892.0764,1265.1724,888.8942,50.6598191556697,2.66781411359769,68.5561974691673,3.33333333333333,605.8864,3212.6,76938.35,19877,144366,125.23,98.9444075724535,144.366,32.329100000000004,8379.75354969574,7831.4205,54246.98682515273,0.9299059156876991,4797.3539553752535,4483.5895,31057.101395065318,0.9188094864800281,1.0211130897851046,1.2201810483887994,1.169543107852615,1.197128187307515,43926.651284520885,0.7837019766716165,1.0266781411359769,118.47261,18328.173998038917,126.9563054877112,-0.268434266161266
2004 Q1,3508.7447,42.39,1898.827,1180.0016,754.4089,52.5627657906206,7.20871751885958,71.1786515724151,1.36666666666667,691.3578,3421.2,83398.44,21238,144168,116.34,113.725862014475,144.168,31.86157,7273.300306676103,8071.7467,55988.476638366345,0.9597586646456621,4479.422033498467,4642.1729,32199.745435880355,0.952614063765452,1.0375632338738408,1.1407887093628883,1.1427659326759554,1.1416780361495509,45147.25817959223,0.8054790074361606,1.0720871751885959,121.28803,19103.92614048837,132.51155693696498,-0.280275976436142
2004 Q2,3989.9742,44.57,2022.7223000000001,1391.3015,896.3236999999999,53.926582434557,6.58717748240853,73.0284694865045,7.16666666666667,712.0656,3684.7,88226.28,23180,143985,122.16,112.515407224803,143.985,31.57291,7841.589409916985,8121.2839,56403.680244469906,0.9668761159941588,4538.304464886695,4609.7923,32015.78150501788,0.94717157888264,1.0259464399070826,1.137263389457655,1.098179297610545,1.11950631005358,47455.0008617741,0.8466517909010524,1.0658717748240853,123.3254,21217.619788609918,147.35993185824853,-0.227185683060804
2004 Q3,4702.7651,48.16,2212.5882,1585.5972,1028.1019000000001,55.0713790821437,6.0883917109844,72.7552898844777,3.66666666666667,726.0983,3726.1,95081.88,27160,143813,124.6,111.254385133213,143.813,32.08807,8607.287790697676,8131.6711,56543.36603784081,0.9692706203380002,4594.2446013289045,4661.1763,32411.369625833548,0.958874864180282,1.0212288002670293,1.128048399420089,1.1015583845511956,1.1160499638055885,47046.83455154773,0.839369634515781,1.060883917109844,125.59279,24690.085754612228,171.68187684432027,-0.125919651170462
2004 Q4,4921.8504,49.64,2453.8976000000002,1703.4966000000002,1095.029,56.5653523905775,5.92912705272291,73.1068334182925,1.1,760.2928,4363.3,124541.2,28590,143645,132.7,109.964918934294,143.645,32.32431,8689.328767123287,8106.9329,56437.27870792578,0.9674520633739891,4943.387590652699,4608.8822,32085.22538201817,0.9492260427604556,1.0271279443757058,1.0805828522117196,1.1185930056330746,1.0975249050241012,53699.972509355466,0.9580692671108167,1.059291270527229,125.62795,25234.03283782392,175.66941305178682,-0.153053603617951
2005 Q1,4500.062099999999,51.5,2341.0042999999996,1531.3002,914.2394,59.4476190092064,2.8883812010444,76.6362842311606,1.06666666666667,864.3613,4474.6,137381.02,29682,143474,127.13,117.177080370405,143.474,31.743930000000002,7539.808349514562,8385.3441,58445.04300430741,1.0018693094881297,4545.639417475728,4772.2216,33261.92620265693,0.9840381735835695,1.0509546302960717,1.0096336122531955,1.0524665180030592,1.0286883468750043,52462.20581345051,0.935986085764807,1.028883812010444,132.50721,26031.650145397874,181.43810129638734,-0.169116935445955
2005 Q2,5112.2273,53.86,2570.98,1844.8226000000002,1081.6653999999999,61.349302310845,6.51863600317208,79.8122980507542,2.76666666666667,901.7299,4927.4,151578.3,35210,143295,132.98,116.608198223824,143.295,31.361985,8074.768102487929,8359.2564,58335.994975400405,1,4773.449684366878,4843.5801,33801.45922746782,1,1.0319892256970644,0.9999999999999999,0.9999999999999999,0.9999999999999999,56050.19840715146,1,1.0651863600317208,134.12568,31525.325963901836,220.00297263618296,-0.023278817456589
2005 Q3,5969.8905,57.69,2790.258,2049.6281,1260.9238,62.051458965809,3.75223347230492,79.8350161165486,2.4,920.3404,5292.2,159559.8,41770,143112,138.43,115.672703138333,143.112,31.334380000000003,8981.081989946264,8491.42,59334.08798703114,1.0171093852440782,4836.640665626625,4875.7112,34069.19894907485,1.0079209515720984,1.0114452264087097,1.0159783204890795,0.9758311185499623,0.9977116444256943,59594.777166442895,1.0632393615013356,1.0375223347230491,139.6529,38004.98685469442,265.5611468967971,0.119558697536366
2005 Q4,6153.6809,57.59,3089.9883999999997,2181.5056,1391.4468,62.9476556175391,2.13834672789868,81.3456555583754,4.46666666666667,959.4869,6044.7,182240.41,42254,142930,151.86,114.895230871338,142.93,31.14323,9313.460843896512,8654.1159,60547.931854754075,1.0379171878406535,5365.494703941656,4970.91,34778.632897222415,1.0289092155216932,1.014442797424375,1.0133250569711563,0.9498259419346207,0.9842414303323096,67184.9189712979,1.1986562203270588,1.0213834672789868,143.66877,38939.11453628927,272.4348599754374,0.101434297397066
