date,exch_rate,access_date
2017-05-01,56.5168,2019-05-15
2017-06-01,59.0855,2019-05-15
2017-07-01,59.5436,2019-05-15
2017-08-01,58.7306,2019-05-15
2017-09-01,58.0169,2019-05-15
2017-10-01,57.8716,2019-05-15
2017-11-01,58.3311,2019-05-15
2017-12-01,57.6002,2019-05-15
2018-01-01,56.2914,2019-05-15
2018-02-01,55.6717,2019-05-15
2018-03-01,57.2649,2019-05-15
2018-04-01,61.9997,2019-05-15
2018-05-01,62.5937,2019-05-15
2018-06-01,62.7565,2019-05-15
2018-07-01,62.7805,2019-05-15
2018-08-01,68.0821,2019-05-15
2018-09-01,65.5906,2019-05-15
2018-10-01,65.7742,2019-05-15
2018-11-01,66.6342,2019-05-15
2018-12-01,69.4706,2019-05-15
2019-01-01,66.0987,2019-05-15
2019-02-01,65.757,2019-05-15
2019-03-01,64.7347,2019-05-15
2019-04-01,64.6917,2019-05-15
2019-05-01,65.3001,2019-05-15
